Devices
1000
,,BERTEC2_door - Force,,,BERTEC2_door - Moment,,,BERTEC2_door - CoP,,,BERTEC1_window - Force,,,BERTEC1_window - Moment,,,BERTEC1_window - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,19.3652,-13.1415,-250.678,24534.5,-3380.13,3671.54,141.516,101.128,0,-29.5136,-2.05139,-274.401,9620.91,-39.3061,-2605.68,-155.143,164.938,0
1,1,16.3135,-12.5311,-250.068,24900.7,-3990.48,3579.99,139.042,99.4242,0,-29.2084,-3.57727,-275.621,9620.91,204.834,-2422.58,-154.257,165.094,0
1,2,19.9756,-13.1415,-249.457,24534.5,-4112.55,3854.65,138.514,100.649,0,-27.6825,-2.35656,-274.401,9437.8,-283.447,-2788.79,-156.033,165.606,0
1,3,22.1118,-12.226,-249.457,24351.4,-4234.62,3671.54,138.025,101.383,0,-29.5136,-2.96692,-275.011,9804.02,-39.3061,-2514.13,-155.143,164.35,0
1,4,21.8066,-13.1415,-248.237,24534.5,-5089.11,3854.65,134.499,100.165,0,-24.3256,-1.44104,-273.79,9254.7,-39.3061,-2514.13,-155.144,166.198,0
1,5,17.229,-12.226,-246.406,23985.2,-3013.92,3854.65,142.768,101.66,0,-28.598,-2.35656,-272.57,9254.7,82.7642,-2239.47,-154.696,166.046,0
1,6,20.2808,-12.8363,-247.016,24534.5,-3868.41,3946.2,139.339,99.6766,0,-31.3446,-1.74621,-272.57,8888.49,-39.3061,-2422.58,-155.144,167.39,0
1,7,19.6704,-13.1415,-247.626,23435.8,-4478.76,3854.65,136.913,104.358,0,-29.2084,-1.74621,-271.349,9071.59,-161.376,-2605.68,-155.595,166.569,0
1,8,19.6704,-13.1415,-247.016,25999.3,-4234.62,3579.99,137.857,93.7464,0,-28.598,-1.44104,-271.349,8705.38,82.7642,-2514.13,-154.695,167.918,0
1,9,16.9238,-12.226,-244.575,23435.8,-3868.41,3854.65,139.183,103.177,0,-30.1239,-1.13586,-270.739,9254.7,-161.376,-2605.68,-155.596,165.817,0
2,0,19.0601,-12.8363,-247.016,23619,-4844.97,3671.54,135.386,103.383,0,-28.598,-1.44104,-270.739,8705.38,-39.3061,-2514.13,-155.145,167.846,0
2,1,15.398,-13.1415,-244.575,23985.2,-4600.83,3488.44,136.188,100.931,0,-27.9877,-1.13586,-270.739,8339.17,-283.447,-2422.58,-156.047,169.198,0
2,2,18.1445,-12.8363,-246.406,24168.3,-4600.83,3488.44,136.328,100.917,0,-28.9032,-1.13586,-270.128,9620.91,82.7642,-2605.68,-154.694,164.384,0
2,3,22.417,-12.8363,-244.575,23802.1,-4112.55,3396.88,138.185,101.68,0,-28.598,-0.220334,-270.128,8705.38,-39.3061,-2147.92,-155.146,167.773,0
2,4,20.2808,-12.226,-246.406,25999.3,-4600.83,4037.75,136.328,93.4857,0,-26.4618,-0.220334,-269.518,8705.38,82.7642,-2331.02,-154.693,167.7,0
2,5,20.2808,-12.8363,-243.964,23802.1,-4234.62,3579.99,137.642,101.436,0,-28.598,-0.525509,-269.518,8156.07,204.834,-2331.02,-154.24,169.738,0
2,6,19.9756,-12.8363,-246.406,23802.1,-3990.48,3946.2,138.805,102.403,0,-27.6825,-0.830685,-267.687,8522.28,-39.3061,-2239.47,-155.147,168.163,0
2,7,20.2808,-12.8363,-245.795,23802.1,-4967.04,3671.54,134.792,102.163,0,-27.6825,-0.525509,-264.635,8339.17,82.7642,-2331.02,-154.687,168.488,0
2,8,18.4497,-12.8363,-245.185,23619,-2891.85,3305.33,143.205,102.669,0,-29.8187,-0.830685,-267.076,7972.96,-161.376,-2147.92,-155.604,170.147,0
2,9,17.5342,-12.8363,-240.912,23435.8,-3868.41,3488.44,138.943,101.72,0,-27.6825,-1.44104,-265.856,8156.07,204.834,-1964.81,-154.23,169.321,0
3,0,17.5342,-12.8363,-242.744,24900.7,-3990.48,3488.44,138.561,96.4198,0,-24.9359,-1.13586,-267.076,8156.07,-39.3061,-2147.92,-155.147,169.462,0
3,1,18.4497,-12.8363,-242.744,21971,-4722.9,3579.99,135.544,108.489,0,-26.1566,-0.220334,-265.245,7423.65,82.7642,-2147.92,-154.688,172.012,0
3,2,17.5342,-11.6156,-244.575,21971,-4844.97,3579.99,135.19,109.166,0,-26.1566,0.695194,-264.025,8156.07,82.7642,-2147.92,-154.687,169.109,0
3,3,18.1445,-11.9208,-242.133,21971,-4356.69,3213.78,137.007,108.261,0,-27.9877,1.00037,-265.245,7606.75,-161.376,-2147.92,-155.608,171.322,0
3,4,17.5342,-11.9208,-242.744,22703.4,-4600.83,3763.09,136.047,105.472,0,-26.4618,0.390018,-264.025,8156.07,-161.376,-2147.92,-155.611,169.109,0
3,5,18.7549,-12.226,-243.964,21787.9,-4356.69,3396.88,137.142,109.692,0,-23.7152,0.695194,-262.804,7606.75,204.834,-2422.58,-154.221,171.055,0
3,6,18.7549,-12.226,-242.133,21971,-3380.13,3579.99,141.04,108.261,0,-25.2411,0.695194,-262.804,7789.86,-39.3061,-1873.26,-155.15,170.359,0
3,7,18.4497,-11.3104,-240.302,21604.8,-4844.97,3488.44,134.838,109.093,0,-26.1566,1.61072,-262.194,7057.43,82.7642,-1873.26,-154.684,173.083,0
3,8,14.7876,-11.3104,-242.744,21421.7,-3502.2,3213.78,140.572,110.752,0,-28.598,1.00037,-261.583,7057.43,82.7642,-2056.37,-154.684,173.02,0
3,9,18.4497,-11.0052,-241.523,20140,-4478.76,3213.78,136.456,115.613,0,-25.5463,0.695194,-259.752,7057.43,-39.3061,-2147.92,-155.151,172.83,0
