Devices
1000
,,BERTEC2_door - Force,,,BERTEC2_door - Moment,,,BERTEC2_door - CoP,,,BERTEC1_window - Force,,,BERTEC1_window - Moment,,,BERTEC1_window - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,13.5669,2.72766,-306.22,-8424.5,-22056.9,1291.17,82.9705,226.511,0,-16.391,-4.79797,-273.79,-10337.6,-39.3061,-2880.34,-155.144,237.757,0
1,1,11.4307,3.94836,-304.999,-8790.71,-23155.5,1474.27,79.0801,227.822,0,-11.8134,-3.88244,-273.18,-10703.8,-39.3061,-2971.89,-155.144,239.182,0
1,2,12.3462,1.81213,-306.83,-9340.03,-23155.5,375.642,79.5332,229.44,0,-14.2548,-5.40832,-273.79,-9971.38,-39.3061,-3155,-155.144,236.42,0
1,3,12.3462,2.11731,-305.61,-9340.03,-23155.5,1474.27,79.2317,229.562,0,-13.0341,-5.40832,-273.18,-10520.7,82.7642,-2788.79,-154.697,238.512,0
1,4,13.8721,2.72766,-306.22,-9706.24,-22789.3,1474.27,80.5787,230.697,0,-16.0858,-4.79797,-271.349,-10337.6,-39.3061,-2971.89,-155.145,238.097,0
1,5,10.8203,2.11731,-307.441,-8973.82,-22667.2,1474.27,81.2712,228.189,0,-15.1703,-4.79797,-271.349,-10886.9,-161.376,-2971.89,-155.595,240.121,0
1,6,12.9565,2.72766,-306.22,-8973.82,-23277.6,1474.27,78.9841,228.305,0,-11.203,-4.49279,-272.57,-10337.6,-161.376,-2971.89,-155.592,237.926,0
1,7,12.041,2.72766,-305.61,-9889.34,-22911.4,924.958,80.0306,231.359,0,-10.5927,-4.79797,-273.18,-10337.6,204.834,-2880.34,-154.25,237.842,0
1,8,11.1255,3.03284,-303.168,-9523.13,-22789.3,1108.06,79.8295,230.412,0,-14.8651,-4.79797,-271.959,-11070,82.7642,-3155,-154.696,240.705,0
1,9,11.7358,2.42249,-305.61,-8973.82,-22911.4,1291.17,80.0306,228.364,0,-11.5082,-4.18762,-273.79,-10520.7,82.7642,-3246.55,-154.698,238.426,0
2,0,14.1772,2.42249,-304.999,-9156.92,-23155.5,1199.62,79.0801,229.023,0,-12.4237,-4.49279,-272.57,-10703.8,-39.3061,-2880.34,-155.144,239.27,0
2,1,12.9565,2.42249,-306.22,-8058.29,-23521.7,1565.83,78.1869,225.315,0,-13.9496,-4.18762,-273.18,-10154.5,326.905,-2880.34,-153.803,237.171,0
2,2,12.6514,2.11731,-305.61,-8607.61,-22789.3,1657.38,80.43,227.165,0,-11.203,-5.10315,-275.621,-10337.6,-39.3061,-3063.45,-155.143,237.507,0
