head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z,rHip                          _X,rHip                          _Y,rHip                          _Z
13.231161,-180.85376,1342.3615,17.264156,-102.642555,920.63403,209.55597,-168.76018,1019.333,163.10342,-75.34669,702.387,-73.9064,-52.399475,867.8667,-186.62471,-172.74336,1018.89624,-187.12032,-52.99398,726.30334,72.7712,-17.491032,853.26434,-151.33322,-230.83107,608.7764,167.25082,231.79414,546.0761,-140.73586,233.70622,548.0616,126.42132,78.12537,68.43896,-147.14777,78.4542,79.88051,187.79582,340.65967,76.009056,-175.75911,343.16904,84.83065,0.0,0.0,0.0
13.407012,-180.73209,1342.3228,17.333826,-102.48705,920.5611,209.68166,-168.48843,1019.2893,162.62431,-75.399536,702.70215,-73.72835,-52.420914,867.78296,-186.49828,-172.63556,1018.8602,-187.02689,-52.95686,726.2641,72.93552,-17.33204,853.15186,-151.26955,-231.00363,608.77,167.24663,231.78325,545.94995,-140.55042,233.6108,548.0863,127.20584,78.14382,68.38343,-147.22102,78.40747,79.94037,187.76704,340.65765,76.05893,-175.69347,343.21344,84.98046,0.0,0.0,0.0
13.61965,-180.40263,1342.1844,11.109266,-104.09828,916.9966,209.84193,-168.20445,1019.22205,162.8969,-75.25775,702.3541,-73.75522,-52.22665,867.68005,-186.37054,-172.50531,1018.8284,-186.9774,-52.944107,726.1736,72.99083,-17.120491,853.08,-151.16628,-230.88617,609.09753,167.32779,231.67686,546.04926,-140.37962,233.51277,548.0852,126.90294,77.82972,68.32499,-147.1891,78.40598,79.882645,187.76921,340.63412,76.10027,-175.601,343.20975,84.93388,0.0,0.0,0.0
13.518637,-180.70348,1341.8473,11.523464,-105.23734,916.5131,209.9052,-167.8643,1019.1869,162.97954,-75.1102,702.2557,-73.617546,-52.010914,867.57275,-186.27074,-172.25061,1018.81537,-186.8836,-52.909416,726.09064,72.96291,-16.944393,852.9249,-151.15729,-231.05261,609.0672,167.22455,231.63469,546.06244,-140.27101,233.40775,548.08765,126.92654,77.81771,68.317825,-147.22449,78.37968,79.86082,187.76114,340.64337,76.23749,-175.50551,343.16354,85.09463,0.0,0.0,0.0
13.658997,-180.39075,1341.9099,11.32826,-103.725174,916.859,209.97314,-167.54082,1019.1416,163.0836,-74.93565,702.139,-73.52674,-51.826447,867.4222,-186.14914,-171.96509,1018.74084,-186.76135,-52.83754,725.95026,73.035194,-16.72854,852.78674,-151.14325,-231.27422,609.0331,167.05606,231.59636,546.03253,-140.22136,233.27531,548.1391,126.567635,78.03896,68.41941,-147.24947,78.381096,79.83902,187.7237,340.67612,76.25027,-175.83388,343.02368,85.09809,0.0,0.0,0.0
13.657761,-180.00984,1342.141,11.429066,-103.48604,916.75385,210.09291,-167.1346,1019.13495,163.48314,-74.44239,702.0705,-73.45631,-51.59108,867.2586,-186.05473,-171.56404,1018.70496,-186.70361,-52.7726,725.79706,73.86769,-15.840288,852.70715,-150.9968,-231.39317,609.10675,166.89156,231.61392,546.21826,-140.21152,233.1139,548.13727,126.52709,78.002266,68.39458,-147.2615,78.37974,79.73716,187.81017,340.622,76.406845,-176.04213,343.1523,85.42377,0.0,0.0,0.0
13.825164,-179.55473,1342.0774,11.487872,-103.149666,916.5703,210.24588,-166.60504,1019.12054,163.57628,-74.249306,701.9645,-73.39219,-51.325832,867.05853,-185.95973,-171.17169,1018.6366,-186.57738,-52.680088,725.5718,73.262566,-15.993737,852.44934,-151.06265,-231.45053,609.1831,166.73444,231.58429,546.2329,-140.32436,232.86981,548.07,127.00058,77.85592,68.31231,-147.33812,78.32309,79.717766,187.78221,340.62564,76.489494,-175.83871,343.02094,85.3393,0.0,0.0,0.0
14.200355,-179.00256,1342.0032,11.794241,-102.20808,916.8075,210.34102,-165.99158,1019.0936,163.68259,-74.08961,701.79755,-73.315186,-51.01304,866.8709,-185.87602,-170.65454,1018.592,-186.54562,-52.60106,725.32623,73.502266,-15.549802,852.1952,-150.95328,-231.53677,609.23926,166.56273,231.51068,546.2404,-140.35646,232.72083,548.0919,126.90897,77.722984,68.31564,-147.32498,78.34181,79.651665,187.7638,340.63486,76.59554,-176.10374,342.98438,85.69381,0.0,0.0,0.0
14.3743725,-178.40016,1341.9575,11.791166,-101.88896,916.65234,210.44142,-165.37152,1019.0483,163.93665,-74.185455,701.49054,-73.20077,-50.634613,866.5952,-185.80348,-170.07304,1018.5016,-186.49629,-52.484924,725.1056,73.656006,-15.104113,851.9058,-150.90747,-231.64943,609.2336,166.39024,231.45908,546.16205,-140.33202,232.608,548.2045,127.17111,78.01263,68.20214,-147.4011,78.26986,79.666855,187.73892,340.60385,76.65387,-176.06842,343.00922,86.037285,0.0,0.0,0.0
14.526066,-177.59535,1342.0592,11.933521,-101.54611,916.49896,210.47723,-164.62675,1018.98865,163.86053,-73.66158,701.4319,-73.06374,-50.21811,866.2986,-185.7261,-169.46759,1018.4123,-186.42711,-52.30629,724.8457,73.90542,-14.605137,851.66656,-150.94893,-231.64769,609.2967,166.11589,231.47783,546.1349,-140.40213,232.46179,548.2169,127.005974,77.70431,68.14502,-147.47003,78.24185,79.5984,187.6998,340.5664,76.67873,-176.13672,342.94766,86.07994,0.0,0.0,0.0
