Devices
1000
,,BERTEC2_door - Force,,,BERTEC2_door - Moment,,,BERTEC2_door - CoP,,,BERTEC1_window - Force,,,BERTEC1_window - Moment,,,BERTEC1_window - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,2.27539,-2.7655,-56.5863,-3480.65,-572.51,284.089,144.883,260.511,0,-4.18396,-5.10315,-44.2981,-3379.58,82.7642,-133.758,-153.132,276.292,0
1,1,4.10645,-2.46033,-54.7552,-4213.08,-938.721,375.642,137.856,275.944,0,-2.65809,-5.10315,-44.2981,-3379.58,204.834,-225.311,-150.376,276.292,0
1,2,3.4961,-2.7655,-55.9759,-4396.18,-694.581,467.195,142.591,277.537,0,-5.09949,-5.40832,-43.6877,-3379.58,-161.376,-316.864,-158.694,277.358,0
1,3,2.88575,-2.7655,-58.4174,-4029.97,-816.651,284.089,141.02,267.986,0,-0.521855,-4.79797,-44.2981,-3196.47,-39.3061,-225.311,-155.887,272.158,0
1,4,3.19092,-3.37585,-57.807,-4579.29,-572.51,375.642,145.096,278.217,0,-2.96326,-5.10315,-45.5188,-4295.11,-39.3061,-316.864,-155.864,294.359,0
1,5,3.19092,-3.68103,-55.3656,-3297.55,-572.51,192.536,144.659,258.56,0,-4.79432,-5.10315,-45.5188,-3745.79,204.834,-316.864,-150.5,282.291,0
1,6,3.19092,-3.07068,-57.1967,-4579.29,-328.37,375.642,149.259,279.062,0,-3.57361,-5.7135,-46.1291,-3196.47,82.7642,-316.864,-153.206,269.294,0
1,7,1.35987,-3.07068,-56.5863,-4029.97,-84.2289,9.4309,153.511,270.218,0,-2.65809,-5.7135,-44.9084,-3196.47,-161.376,-316.864,-158.593,271.178,0
1,8,4.10645,-3.07068,-56.5863,-4396.18,159.912,741.853,157.826,276.69,0,-2.65809,-5.40832,-43.6877,-3196.47,-39.3061,-225.311,-155.9,273.166,0
1,9,3.80127,-3.07068,-56.5863,-3297.55,-694.581,467.195,142.725,257.275,0,-4.18396,-4.79797,-43.6877,-3379.58,-39.3061,-408.416,-155.9,277.358,0
2,0,3.19092,-3.98621,-55.9759,-3663.76,-206.299,100.984,151.315,264.452,0,-4.79432,-5.10315,-43.0774,-3196.47,82.7642,-316.864,-153.079,274.203,0
2,1,5.32715,-3.98621,-57.1967,-3846.86,-572.51,284.089,144.991,266.257,0,-5.09949,-5.10315,-44.2981,-3379.58,-39.3061,-316.864,-155.887,276.292,0
