Devices
1000
,,BERTEC2_door - Force,,,BERTEC2_door - Moment,,,BERTEC2_door - CoP,,,BERTEC1_window - Force,,,BERTEC1_window - Moment,,,BERTEC1_window - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,30.3516,-3.98621,-293.403,-7692.08,-11070.6,1565.83,117.268,225.217,0,-27.0721,3.74695,-285.387,-17478.7,82.7642,-499.969,-154.71,261.246,0
1,1,28.5205,-3.98621,-294.623,-7142.76,-11070.6,1474.27,117.425,223.244,0,-27.9877,3.1366,-285.997,-18211.1,82.7642,-225.311,-154.711,263.676,0
1,2,31.5723,-4.29138,-293.403,-5677.92,-11192.6,1657.38,116.852,218.352,0,-24.3256,3.1366,-285.387,-18211.1,-161.376,-316.864,-155.565,263.812,0
1,3,30.3516,-3.98621,-294.013,-6593.45,-10094,1748.93,120.668,221.426,0,-27.6825,3.44178,-285.387,-17844.9,204.834,-133.758,-154.282,262.529,0
1,4,29.7412,-4.29138,-294.623,-6959.66,-11803,1748.93,114.939,222.622,0,-25.5463,3.1366,-284.166,-18394.2,82.7642,-316.864,-154.709,264.73,0
1,5,29.1309,-4.29138,-294.623,-6593.45,-10826.4,1748.93,118.253,221.379,0,-29.8187,3.74695,-285.387,-18028,82.7642,-225.311,-154.71,263.17,0
1,6,27.9102,-3.68103,-295.234,-6044.13,-11314.7,1382.72,116.675,219.472,0,-29.2084,2.83142,-284.777,-18577.3,-39.3061,-225.311,-155.138,265.235,0
1,7,30.0464,-3.98621,-294.623,-6593.45,-10826.4,1565.83,118.253,221.379,0,-24.9359,3.44178,-285.387,-18394.2,-39.3061,-225.311,-155.138,264.454,0
1,8,28.5205,-3.07068,-295.234,-5494.81,-11558.8,1474.27,115.849,217.612,0,-27.6825,3.44178,-284.777,-18760.4,-161.376,-42.2054,-155.567,265.878,0
1,9,30.6567,-3.98621,-295.234,-7142.76,-10704.3,1565.83,118.743,223.194,0,-28.9032,3.74695,-285.387,-18211.1,204.834,-316.864,-154.282,263.812,0
2,0,28.2153,-3.37585,-294.013,-6593.45,-11070.6,1657.38,117.347,221.426,0,-26.767,4.05213,-285.387,-18577.3,204.834,-408.416,-154.282,265.095,0
2,1,30.6567,-4.29138,-294.013,-6776.55,-11314.7,2023.59,116.516,222.048,0,-27.6825,3.74695,-285.387,-18028,-39.3061,-316.864,-155.138,263.17,0
2,2,28.8257,-3.37585,-295.234,-6410.34,-11192.6,1474.27,117.089,220.713,0,-27.6825,3.44178,-284.777,-18211.1,82.7642,-133.758,-154.709,263.949,0
2,3,28.5205,-3.37585,-294.623,-5861.02,-11314.7,1840.49,116.596,218.893,0,-26.767,4.3573,-284.166,-18028,-39.3061,-133.758,-155.138,263.442,0
2,4,27.2998,-3.37585,-294.013,-7142.76,-10582.3,1291.17,119.007,223.294,0,-26.767,4.05213,-284.777,-18577.3,204.834,-225.311,-154.281,265.235,0
2,5,29.1309,-3.98621,-294.013,-7508.97,-11070.6,1474.27,117.347,224.54,0,-27.3773,3.74695,-285.997,-18577.3,-39.3061,-316.864,-155.137,264.956,0
2,6,29.436,-3.07068,-294.623,-6593.45,-10582.3,1474.27,119.082,221.379,0,-26.4618,3.74695,-284.777,-18211.1,204.834,-316.864,-154.281,263.949,0
2,7,27.2998,-3.98621,-294.013,-6410.34,-11192.6,1382.72,116.932,220.803,0,-27.6825,3.44178,-285.997,-18394.2,82.7642,-316.864,-154.711,264.316,0
2,8,28.8257,-3.68103,-294.013,-7692.08,-10948.5,1565.83,117.762,225.162,0,-27.3773,3.74695,-284.777,-18394.2,204.834,-225.311,-154.281,264.592,0
2,9,30.9619,-4.29138,-295.234,-6959.66,-11192.6,2023.59,117.089,222.573,0,-25.2411,3.74695,-284.166,-18211.1,-39.3061,-408.416,-155.138,264.086,0
3,0,28.8257,-3.37585,-295.234,-7325.87,-10826.4,1474.27,118.329,223.814,0,-27.9877,4.05213,-285.387,-18028,204.834,-408.416,-154.282,263.17,0
3,1,29.436,-2.7655,-293.403,-6593.45,-11314.7,1565.83,116.436,221.472,0,-27.3773,3.74695,-285.387,-18577.3,-161.376,-42.2054,-155.565,265.095,0
