head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z,rHip                          _X,rHip                          _Y,rHip                          _Z
19.804802,283.1155,1720.2909,24.87826,371.3613,1294.888,238.19432,258.45425,1388.2867,275.49832,250.82341,1093.1063,254.53992,413.41592,875.67944,-196.67787,255.40767,1372.4208,-230.85005,254.07677,1089.9364,-209.48645,403.48312,863.6878,-131.58453,286.83084,964.0909,144.98843,307.63684,506.2761,-92.08361,320.03204,500.0623,142.4295,141.3117,67.42725,-117.5328,145.9393,80.31369,206.97139,403.18896,73.29648,-168.03761,408.62787,77.92326,0.0,0.0,0.0
19.97064,283.51773,1720.3014,24.972157,371.57944,1294.7142,238.21172,258.64554,1388.2225,275.5602,250.7506,1093.1052,254.57126,413.35663,875.6163,-196.60085,255.63391,1372.4015,-231.01558,254.12439,1089.9424,-209.37251,403.49753,863.6825,-131.73874,286.72293,964.11316,145.01839,307.86176,506.38635,-92.31423,320.2092,500.6746,142.39026,141.27501,67.49726,-117.520645,145.99199,80.26741,206.9542,403.2216,73.24091,-168.04695,408.9663,78.29586,0.0,0.0,0.0
20.34374,284.09827,1719.8557,25.079918,371.7009,1294.4531,238.27824,258.89426,1388.1501,275.58377,250.59354,1093.177,254.68813,413.285,875.59296,-196.53839,255.9605,1372.416,-231.16486,254.10716,1090.0012,-209.49028,403.76477,863.8654,-131.6839,286.41946,964.183,145.12589,308.21466,506.5527,-92.39181,320.57574,500.92035,142.32945,141.26157,67.564644,-117.50804,146.0363,80.28869,206.96994,403.25043,73.3747,-167.96426,408.964,78.33517,0.0,0.0,0.0
20.217335,284.86618,1719.7596,25.103924,371.88974,1294.172,238.28284,259.24808,1388.03,275.6709,250.43163,1093.1992,254.71089,413.35806,875.5097,-196.3465,256.00742,1372.3844,-231.34053,254.13281,1089.9836,-209.57582,403.97635,864.24835,-131.60173,286.04224,964.20825,145.14644,308.60074,506.69287,-92.43866,320.83752,501.2875,142.41985,141.27861,67.471924,-117.53488,146.02893,80.27254,206.96161,403.2047,73.31527,-168.00006,408.61258,78.04779,0.0,0.0,0.0
20.092611,285.4194,1719.9413,25.236925,372.06467,1293.8948,238.43803,259.28485,1387.9581,275.81967,250.17404,1093.2305,254.79451,413.31036,875.4632,-196.27002,256.44916,1372.3286,-231.52989,254.1527,1089.9987,-209.91476,403.94757,864.47504,-131.71577,285.39395,964.1892,145.47044,309.7712,506.90125,-92.274765,321.20255,501.4821,142.71455,141.65927,67.36018,-117.62345,146.05157,80.260284,206.93929,403.20303,73.32368,-167.91272,408.70157,78.12843,0.0,0.0,0.0
20.060799,286.1036,1720.1442,25.315233,372.26065,1293.5688,238.47327,259.70877,1387.8947,275.9341,249.95729,1093.3256,254.95854,413.26547,875.38275,-196.2035,256.94702,1372.3009,-231.79462,254.1691,1090.1161,-209.82065,404.10956,864.5252,-132.02005,284.04172,964.34534,146.27628,310.70294,507.7981,-92.29476,321.58487,501.99136,142.39378,141.26013,67.47608,-117.55733,146.11879,80.27445,206.91533,403.1973,73.32758,-167.94199,408.85562,78.40587,0.0,0.0,0.0
20.10536,287.12863,1719.4828,25.329176,372.40494,1293.1747,238.37502,260.4546,1387.7515,276.5048,249.45355,1093.607,255.13931,413.15976,875.3406,-196.30984,257.8528,1372.3387,-232.08286,254.22578,1090.2671,-209.7367,404.37946,864.6427,-131.93161,283.2035,963.8289,146.38446,311.6461,508.08148,-92.38431,321.68228,502.7971,142.45396,141.31865,67.47409,-117.667625,146.13213,80.23942,206.9245,403.13278,73.26546,-168.1494,408.59784,78.09424,0.0,0.0,0.0
20.229343,288.3611,1719.5127,25.354715,372.57794,1292.7709,238.15016,261.0736,1387.71,276.40356,249.28172,1093.6559,255.3649,413.0325,875.3408,-196.1754,258.49927,1372.3436,-232.3031,254.30348,1090.5698,-209.59601,404.5675,864.8038,-132.03896,282.4959,963.8559,145.66231,311.79993,508.34488,-92.57895,322.62534,503.33807,142.42079,141.31427,67.40628,-117.72609,146.18916,80.221085,206.92865,403.17874,73.31258,-168.0244,408.77155,78.37654,0.0,0.0,0.0
20.3709,289.92966,1719.3313,26.02609,372.18442,1292.1722,238.21193,261.64645,1387.7216,276.424,249.1452,1093.9458,255.66447,412.81232,875.37476,-195.88425,259.1061,1372.3345,-232.54762,254.44786,1090.9031,-209.5053,404.72214,865.05255,-132.17741,281.80307,964.16876,145.63216,313.13907,508.52322,-92.74481,323.55685,503.8285,142.49284,141.32018,67.41853,-117.73747,146.27327,80.21059,206.8932,403.1836,73.281906,-167.99265,408.85394,78.36719,0.0,0.0,0.0
20.802702,291.70532,1718.8967,25.643932,373.0539,1291.6143,238.26299,262.3615,1387.8009,276.71222,248.62541,1094.2181,256.08102,412.48898,875.45905,-195.73471,260.03897,1372.3905,-232.87256,254.533,1091.3761,-209.35497,404.93997,865.26245,-132.15047,280.56268,964.0236,145.46031,314.75018,508.64246,-92.596725,324.3729,504.04007,142.7458,141.56833,67.47095,-117.7559,146.32793,80.189926,206.89645,403.15097,73.30153,-168.00916,408.8574,78.41998,0.0,0.0,0.0
20.804365,293.46167,1719.1791,25.706757,373.34122,1291.0131,238.39766,262.9183,1388.0131,277.20862,247.81784,1094.5754,256.61606,412.1045,875.6237,-195.54271,261.17975,1372.4374,-233.15074,254.65363,1091.8151,-209.46536,405.4534,865.8238,-132.32635,279.82507,964.4145,145.62672,316.56223,509.1256,-92.688965,325.6329,504.57147,142.4672,141.3839,67.449005,-117.769455,146.27689,80.1638,206.8985,403.19855,73.25776,-167.88107,408.81784,78.37365,0.0,0.0,0.0
20.932343,295.81067,1718.8718,26.068851,373.74744,1290.4674,238.64357,263.59378,1388.2098,277.19952,247.69115,1095.0709,257.20993,411.66113,875.8102,-195.37035,262.34924,1372.484,-233.6151,254.6915,1092.4877,-209.2106,405.52505,866.1112,-132.34982,278.6217,964.43677,145.50343,318.70035,509.39893,-92.90083,326.8834,504.9378,142.48743,141.35445,67.41027,-117.75951,146.33458,80.13151,206.8882,403.1721,73.259026,-167.91696,408.74472,78.43678,0.0,0.0,0.0
21.383293,298.3598,1718.7991,26.41679,374.06772,1289.7634,238.61475,264.65158,1388.4299,277.50647,247.1977,1095.5192,257.86392,411.13992,876.00696,-195.16792,263.60944,1372.5499,-234.09123,254.77878,1093.0186,-209.28816,405.6022,866.492,-132.43417,277.6744,964.7895,145.65854,321.25256,509.90576,-93.202774,328.6848,505.1463,142.5065,141.44212,67.43227,-117.8616,146.28346,80.1252,206.8519,403.1822,73.23658,-167.96097,408.72876,78.40196,0.0,0.0,0.0
21.819155,301.106,1718.4878,26.683016,374.39764,1288.9727,238.69513,265.69385,1388.7428,277.84076,246.56956,1095.9932,258.5738,410.36618,876.2358,-194.9656,265.07758,1372.609,-234.63594,254.88431,1093.5763,-209.27977,406.23032,867.06726,-132.63487,276.44778,964.91064,145.7384,324.27158,510.36472,-93.20518,330.64923,505.34073,142.51985,141.4217,67.421715,-117.79326,146.35321,80.13368,206.80383,403.12524,73.18975,-167.831,408.87885,78.61832,0.0,0.0,0.0
22.413868,304.17004,1718.493,27.21162,374.45645,1288.1631,238.81793,266.73395,1389.1061,278.3982,245.9612,1096.6125,259.3433,409.46738,876.421,-194.70572,266.7906,1372.7063,-235.40321,254.99318,1094.2567,-209.30148,406.41864,867.2929,-132.6635,275.05704,965.33734,147.55455,328.56146,511.6645,-93.36551,332.40707,505.68707,142.686,141.53586,67.50238,-117.69769,146.3681,80.14725,206.83679,403.14606,73.23512,-167.9567,408.76108,78.524574,178.81218,263.57593,989.54956
