head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,rHip                          _X,rHip                          _Y,rHip                          _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z
29.570217,324.18002,1717.3917,25.402336,399.45792,1297.0522,240.14575,305.2561,1388.9493,284.24683,306.33353,1097.867,258.7984,477.6644,888.9089,-184.77708,277.83038,1371.8691,-230.82286,262.4951,1097.6584,-232.7786,417.52945,873.4348,181.64398,328.5673,1004.82855,-127.06451,322.26074,980.75684,142.49026,348.31714,503.33737,-91.78051,362.87662,499.7466,113.251114,183.47997,68.41625,-80.85255,195.8323,80.03487,228.76952,426.70993,70.66896,-179.9688,443.6313,77.41395
29.69906,323.94064,1717.6595,24.70878,400.46017,1297.2251,240.11826,305.24207,1388.9321,284.23633,306.4408,1097.8623,258.7671,477.83844,888.98047,-184.84506,277.71426,1371.8484,-230.78513,262.43332,1097.6194,-232.59686,417.64627,873.4583,181.62361,328.58777,1004.8131,-127.126686,322.30713,980.78284,142.55157,348.38623,503.34238,-91.79703,362.86038,499.78278,112.95011,183.4856,68.277374,-80.85074,195.82593,80.02149,228.8057,426.7571,70.670906,-180.09688,443.6667,77.435135
29.835585,323.73895,1717.5739,24.708015,400.42947,1297.226,240.11755,305.24564,1388.9657,284.2503,306.4822,1097.8348,258.7478,478.03903,889.04803,-184.81618,277.59207,1371.8368,-230.73203,262.4192,1097.614,-232.36755,417.70435,873.60394,181.59752,328.6531,1004.8305,-127.04584,322.1829,980.7223,142.53967,348.3451,503.3603,-91.88441,362.5566,500.00278,112.847275,183.58667,68.72801,-80.87495,195.82024,80.049385,228.78183,426.7458,70.72336,-180.02574,443.6079,77.41757
29.596378,323.83188,1717.294,24.691591,400.4009,1297.2483,240.30219,305.59238,1389.0002,284.22534,306.59586,1097.8259,258.65186,478.19513,889.0942,-184.80313,277.50458,1371.8298,-230.66467,262.42096,1097.5515,-232.24486,418.00308,873.55426,181.58531,328.7478,1004.7568,-127.10576,322.31128,980.82495,142.52647,348.38043,503.31973,-91.80709,362.8494,499.7482,112.92137,183.65619,68.644745,-80.85261,195.78278,80.02738,228.7692,426.73364,70.66948,-179.93118,443.62726,77.390785
29.832573,323.61606,1717.6052,24.718817,400.36957,1297.2661,240.16362,305.26556,1388.9943,284.2688,306.70578,1097.8527,258.63358,478.40173,889.17377,-184.78677,277.44284,1371.7974,-230.6202,262.37204,1097.5138,-232.68805,418.19226,874.13293,181.62544,328.7669,1004.7687,-127.65157,323.6302,980.8619,142.53545,348.40018,503.32962,-91.8126,362.6275,499.9963,113.26445,183.6117,68.24212,-80.85611,195.78973,80.02856,228.77873,426.7516,70.62781,-180.02046,443.63882,77.4352
29.358105,323.55618,1717.2247,24.699617,400.333,1297.3207,240.14499,305.3036,1389.0071,284.23834,306.8094,1097.8396,258.55087,478.59433,889.2494,-184.81107,277.31042,1371.8153,-230.57584,262.37485,1097.5095,-232.68617,418.41266,874.44104,182.20346,329.44754,1005.3257,-127.0642,322.32324,980.6489,142.55644,348.38153,503.32025,-91.69662,362.93045,499.70123,112.93065,183.47379,68.222115,-80.87626,195.7977,80.02554,228.80498,426.7293,70.651436,-180.47455,443.43896,77.48607
29.540873,323.41653,1717.3059,24.749514,400.32117,1297.2972,240.49289,305.1436,1389.094,284.63284,306.2761,1097.9888,258.5015,478.74258,889.329,-184.80832,277.23126,1371.787,-230.51888,262.39206,1097.4861,-232.44977,418.61334,874.5322,181.69418,329.03363,1004.83185,-127.58502,323.50705,980.8909,142.51646,348.38965,503.33347,-91.78996,362.57355,499.9497,113.64819,184.02454,68.29431,-80.88467,195.78734,80.03959,228.83298,426.76968,70.65477,-180.14558,443.5774,77.415276
29.564255,323.37027,1717.3949,24.687336,400.3364,1297.3759,240.32275,305.58267,1389.0779,284.29504,307.02884,1097.8969,258.48526,478.90936,889.4283,-184.74268,277.16083,1371.767,-230.4542,262.39923,1097.4414,-232.22331,418.87152,874.5252,182.20023,329.48932,1005.2609,-127.03533,322.4138,980.76984,142.51968,348.37317,503.33972,-91.78994,362.55753,499.9453,113.48123,183.8829,68.40068,-80.82758,195.76785,80.03497,228.78598,426.76132,70.63403,-180.08365,443.65738,77.43323
29.478235,323.20917,1717.3055,25.282,399.47018,1297.3091,240.16022,305.32202,1389.0732,284.30203,307.09464,1097.9391,258.45047,479.10806,889.51196,-184.676,277.0927,1371.761,-230.37837,262.42145,1097.3738,-232.07826,419.05856,874.6371,182.16914,329.6113,1005.28217,-126.92885,322.41193,980.7414,142.47589,348.32947,503.31644,-91.74387,362.81326,499.78577,113.64883,184.05191,68.34459,-80.857925,195.7751,80.04843,228.81873,426.71933,70.614624,-180.03368,443.55765,77.419876
29.589697,323.0707,1717.3727,24.695137,400.3135,1297.4135,240.18356,305.32986,1389.099,284.65207,306.6572,1098.0725,258.0549,479.1577,889.55237,-184.75583,276.97238,1371.7789,-230.32455,262.44388,1097.3496,-231.90677,419.3266,874.70685,182.12923,329.49734,1005.3404,-127.09487,322.8718,980.9506,142.48566,348.37045,503.33093,-91.79222,362.621,499.99493,113.25039,183.59041,68.37137,-80.84862,195.76483,80.04768,228.83008,426.75946,70.67554,-180.12132,443.6092,77.42179
29.795156,323.00662,1717.266,24.717922,400.30005,1297.4265,240.45209,305.19522,1389.1663,284.64893,306.73804,1098.0881,258.0288,479.30728,889.6132,-184.7613,276.9189,1371.756,-230.23029,262.46747,1097.3229,-231.33029,419.4122,874.6387,182.09708,329.75897,1005.2958,-127.03835,322.5721,980.7645,142.49866,348.36105,503.32822,-91.71338,362.81958,499.79074,113.71858,183.92656,68.51732,-80.86275,195.7457,80.04706,228.78415,426.73486,70.59531,-179.95752,443.54126,77.35112
29.717762,322.9557,1717.1387,24.735847,400.27594,1297.5175,240.20262,305.31216,1389.1421,284.6604,306.85745,1098.0687,258.02533,479.55157,889.76953,-184.77031,276.86227,1371.7124,-230.15982,262.5231,1097.2388,-231.51477,419.79138,874.9841,182.03587,329.80988,1005.28625,-126.89885,322.47937,980.7144,142.5184,348.40707,503.36426,-91.73551,362.84344,499.7669,113.49342,183.74149,68.31289,-80.84856,195.73055,80.03813,228.79793,426.70453,70.649765,-180.07463,443.60995,77.47331
29.497204,322.8164,1717.4325,24.712729,400.24927,1297.5382,240.18901,305.28934,1389.1393,284.70135,306.97125,1098.113,258.07074,479.66293,889.8455,-184.77283,276.7757,1371.6917,-230.11812,262.57312,1097.2325,-231.33304,419.98532,875.0469,182.1488,329.74063,1005.2928,-126.90363,322.89514,980.8304,142.50061,348.4039,503.3681,-91.72162,362.81424,499.75446,113.15386,183.35605,68.46731,-80.83464,195.72336,80.047264,228.7662,426.64975,70.582054,-179.95549,443.6379,77.37505
29.536844,322.69437,1717.3953,24.754395,400.22168,1297.6014,240.45462,305.1621,1389.237,284.72235,307.05008,1098.1394,258.04047,479.8454,889.91,-184.76372,276.7453,1371.6388,-230.0549,262.599,1097.1377,-231.17548,420.20377,875.1865,182.16562,329.90207,1005.34326,-126.70476,322.20435,980.83685,142.4962,348.40665,503.33698,-91.699066,362.8177,499.78705,113.28012,183.62482,68.29363,-80.863335,195.69885,80.04833,228.81065,426.6804,70.577515,-180.03006,443.66492,77.425995
29.475697,322.56757,1717.4413,24.771547,400.18213,1297.5902,240.39647,305.46283,1389.2247,284.71536,307.41846,1097.9193,258.04446,480.03046,889.98627,-184.65009,276.66046,1371.603,-229.99493,262.64148,1097.1106,-231.07945,420.42294,875.23254,182.1918,329.81305,1005.3,-126.88407,322.9987,980.87305,142.48924,348.3909,503.29825,-91.7161,362.62772,499.91675,113.2225,183.82735,68.23892,-80.81758,195.7236,80.0111,228.71596,426.61823,70.48818,-180.54347,443.4237,77.36682
29.651888,322.51172,1717.486,24.737774,400.18704,1297.5581,240.38684,305.42722,1389.2286,284.81076,307.21356,1098.173,258.12244,480.1653,890.11584,-184.63614,276.62924,1371.5939,-229.87451,262.67303,1097.031,-230.7268,420.64825,875.23303,182.21013,329.98083,1005.35565,-126.699905,322.68268,980.8698,142.58926,348.6203,503.2643,-91.57571,362.8027,499.7407,113.35643,183.65253,68.38373,-80.83397,195.7053,80.0423,228.77562,426.62772,70.51779,-180.01967,443.55432,77.37608
29.534407,322.38837,1717.4025,24.795918,400.2191,1297.6077,240.27539,305.182,1389.245,284.76108,307.6574,1097.9337,258.1341,480.37317,890.2184,-184.59773,276.6015,1371.5288,-229.81615,262.74036,1096.942,-230.60359,420.8722,875.26385,182.1226,330.0229,1005.388,-126.48972,322.49884,980.87994,142.51802,348.5012,503.27106,-91.67498,362.81546,499.73624,113.47586,183.7539,68.2474,-80.82128,195.68918,80.0223,228.77357,426.68015,70.56291,-180.0601,443.6235,77.437096
29.198612,322.21704,1717.5792,24.78363,400.22562,1297.6704,240.2885,305.18323,1389.2672,284.8204,307.60822,1098.033,258.1019,480.5189,890.34015,-184.61365,276.58838,1371.5156,-229.74216,262.834,1096.915,-230.39145,421.1231,875.31177,182.20657,330.1416,1005.24664,-126.6235,322.58163,980.80927,142.59189,348.5474,503.3005,-91.65126,362.873,499.7498,113.65794,183.91597,68.314064,-80.85463,195.70541,80.01561,228.78972,426.68082,70.58368,-180.1004,443.66382,77.45478
29.26794,322.16483,1717.4813,24.805758,400.20416,1297.7006,240.7133,305.26697,1389.3829,284.8097,307.72144,1098.0332,258.19382,480.70605,890.44073,-184.56178,276.5912,1371.4957,-229.75003,262.92026,1096.8666,-230.0732,421.3871,875.3386,182.22887,330.176,1005.3721,-126.59624,322.7384,980.8307,142.53421,348.67273,503.22546,-91.77803,362.73474,499.8731,113.454185,183.64001,68.453926,-80.86553,195.71692,80.02776,228.83679,426.66806,70.5942,-180.14998,443.63464,77.50839
29.295607,322.10727,1717.5261,24.8583,400.25677,1297.712,240.552,305.03354,1389.393,284.84515,307.77307,1098.0458,258.49106,480.9468,890.56195,-184.58768,276.55563,1371.4675,-229.65775,262.97833,1096.7808,-229.78526,421.51733,875.1054,181.82855,329.71094,1004.9183,-127.15954,321.28076,980.74384,142.53992,348.55762,503.29395,-91.727486,362.68478,499.88098,113.21769,183.62474,68.33544,-80.86822,195.71823,80.043846,228.80804,426.7107,70.61351,-179.95107,443.72568,77.45909
29.236414,322.0078,1717.5522,24.818089,400.22644,1297.7446,240.61694,305.00595,1389.4174,284.94263,307.77988,1098.0808,258.5403,481.0158,890.6398,-184.51938,276.54242,1371.4353,-229.63103,263.0751,1096.6958,-229.09297,421.66885,874.6566,182.30522,330.16873,1005.2819,-126.69262,320.9068,980.62134,142.59154,348.5926,503.29492,-91.70104,362.75668,499.88922,113.08108,183.52214,68.39054,-80.87935,195.7168,80.004036,228.73192,426.65802,70.51237,-180.15099,443.57565,77.47229
29.195562,321.94388,1717.5355,24.88632,400.294,1297.7639,240.62503,304.97702,1389.4297,285.00876,307.61926,1098.3029,258.5831,481.14148,890.7196,-184.47827,276.58252,1371.3804,-229.58792,263.12744,1096.6959,-229.31448,421.879,874.92926,182.26025,330.18533,1005.3206,-126.66927,321.6039,980.7858,142.60063,348.58142,503.27905,-91.6183,362.97357,499.82062,113.3375,183.8636,68.36021,-80.85464,195.69533,80.00301,228.73265,426.69464,70.6349,-180.14272,443.59702,77.47927
29.29211,321.9566,1717.4326,24.942175,400.2626,1297.7695,240.6635,304.90698,1389.4403,285.12238,307.6163,1098.3455,258.6611,481.32907,890.8008,-184.45325,276.59323,1371.3423,-229.47684,263.23438,1096.6084,-229.0241,422.08487,874.9865,182.27802,330.22925,1005.21606,-126.80053,321.73996,980.74054,142.59146,348.73688,503.23196,-91.610016,362.98315,499.7569,113.19464,183.70825,68.50862,-80.84879,195.71298,80.012215,228.7734,426.61383,70.47508,-179.99165,443.69363,77.51317
29.08416,321.75833,1717.5004,24.99556,400.29828,1297.811,240.916,305.09286,1389.5067,285.1701,307.92502,1098.1324,258.76743,481.45813,890.8938,-184.38864,276.6302,1371.3081,-229.42876,263.30746,1096.5656,-228.99379,422.1592,875.01227,182.39217,330.31985,1005.3026,-126.773895,321.57864,980.74286,142.63623,348.65366,503.28604,-91.64577,362.98547,499.73096,113.11496,183.64543,68.16443,-80.83596,195.72307,80.038925,228.82687,426.7171,70.522224,-180.1603,443.60886,77.39418
29.197847,321.75278,1717.7041,25.018862,400.3329,1297.8107,240.78212,304.84073,1389.4822,285.21564,307.97128,1098.1592,258.8206,481.4737,890.96466,-184.40417,276.63873,1371.3116,-229.2869,263.42368,1096.4894,-228.64699,422.31238,874.8946,182.4075,330.3276,1005.2816,-126.69992,321.5434,980.6422,142.64851,348.8032,503.24854,-91.646034,362.8146,499.92004,113.31106,183.62221,68.35411,-80.86045,195.71884,80.028275,228.81924,426.7331,70.601204,-179.9065,443.63293,77.4186
29.092056,321.60284,1717.5725,25.00934,400.32043,1297.7947,240.7393,304.81686,1389.4678,285.3246,307.68414,1098.4111,258.9506,481.59763,891.06635,-184.40257,276.6736,1371.282,-229.27664,263.5192,1096.4963,-228.47806,422.40866,874.96967,182.35638,330.24844,1005.28204,-126.30653,321.4182,980.52466,142.6057,348.66318,503.29355,-91.65373,362.87552,499.8638,113.24554,183.63326,68.28688,-80.830864,195.70769,80.02041,228.79382,426.65155,70.534676,-180.39482,443.50812,77.46266
28.912561,321.52,1717.582,25.06964,400.32867,1297.8096,240.86412,304.80496,1389.5287,285.42282,307.69577,1098.4178,259.03738,481.76093,891.14325,-184.34143,276.72922,1371.2489,-229.22046,263.56296,1096.5033,-228.41666,422.61493,874.8257,182.46562,330.30258,1005.456,-126.572464,322.05896,980.61615,142.76498,348.87192,503.2736,-91.50866,363.07968,499.72427,113.55798,183.99655,68.214554,-80.84664,195.70688,80.006226,228.81346,426.69992,70.550514,-180.21799,443.47333,77.50521
29.21496,321.58966,1717.6694,25.138252,400.3421,1297.7919,241.0305,304.98755,1389.5114,285.44028,307.92804,1098.2139,258.7382,481.6779,891.14307,-184.33116,276.77563,1371.2573,-229.19052,263.69907,1096.5166,-228.64272,422.7404,875.30206,182.12437,329.86703,1004.96545,-126.481735,321.97046,980.6798,142.79832,348.8254,503.38144,-91.550446,362.94547,499.90805,113.68726,183.88193,68.499054,-80.84488,195.69028,80.05733,228.74821,426.6846,70.551285,-180.12051,443.6744,77.46736
29.19993,321.517,1717.5177,25.18914,400.38217,1297.7856,240.89928,304.77777,1389.4806,285.48807,307.90482,1098.2346,259.26254,481.89813,891.28235,-184.32213,276.88098,1371.2596,-229.15118,263.8041,1096.5051,-228.52243,422.77884,875.28784,182.17638,329.786,1005.02545,-126.537415,321.88882,980.5751,142.70682,348.7526,503.36234,-91.61945,363.02676,499.91446,113.27606,183.54341,68.312355,-80.84366,195.71896,80.04905,228.77483,426.69928,70.539505,-180.20421,443.6095,77.46346
