#Kinovea Trajectory data export
#T X Y

# Trajectory 1
0.00 (0) 5.44 -72.72 
0.04 (1) 4.44 -72.72 
0.08 (2) 4.45 -73.66 
0.12 (3) 4.45 -73.59 
0.16 (4) 4.45 -72.59 
0.20 (5) 4.46 -72.60 
0.24 (6) 4.47 -73.53 
0.28 (7) 4.48 -73.47 
0.32 (8) 4.48 -72.47 
0.36 (9) 4.49 -72.47 
0.40 (10) 4.50 -73.41 
0.44 (11) 4.51 -73.35 
0.48 (12) 4.52 -72.36 
0.52 (13) 4.54 -72.36 
0.56 (14) 4.55 -73.30 
0.60 (15) 4.56 -73.24 
0.64 (16) 4.58 -72.24 
0.68 (17) 4.59 -72.24 
0.72 (18) 4.60 -73.18 
0.76 (19) 4.62 -73.12 
0.80 (20) 4.63 -72.12 
0.84 (21) 4.65 -72.12 
0.88 (22) 4.66 -73.06 
0.92 (23) 4.68 -73.01 
0.96 (24) 4.69 -72.01 
1.00 (25) 4.71 -72.01 
1.04 (26) 4.72 -72.96 
1.08 (27) 4.74 -73.90 
1.12 (28) 4.76 -72.90 
1.16 (29) 4.78 -72.91 
1.20 (30) 4.80 -73.85 
1.24 (31) 4.81 -73.80 
1.28 (32) 4.83 -72.80 
1.32 (33) 4.85 -72.81 
1.36 (34) 4.87 -73.75 
1.40 (35) 4.88 -73.70 
1.44 (36) 4.90 -72.70 
1.48 (37) 4.91 -72.71 
1.52 (38) 4.93 -73.65 
1.56 (39) 4.94 -73.59 
1.60 (40) 4.96 -72.60 
1.64 (41) 4.97 -72.61 
1.68 (42) 9.97 -71.61 
1.72 (43) 22.97 -67.61 
1.76 (44) 32.97 -64.60 
1.80 (45) 45.97 -59.59 
1.84 (46) 57.97 -53.59 
1.88 (47) 69.98 -47.59 
1.92 (48) 82.98 -41.59 
1.96 (49) 95.97 -34.60 
2.00 (50) 108.97 -29.59 
2.04 (51) 120.97 -23.57 
