head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rHip                          _X,rHip                          _Y,rHip                          _Z
19.51094,-160.80328,1335.4883,7.0116754,-82.33327,902.03815,205.7839,-124.33471,992.3472,163.47957,-70.21332,686.3132,-75.29165,-36.212345,840.94495,-192.60753,-130.74286,1000.0319,-204.92159,-35.412502,718.4282,57.81135,-5.8750396,837.8077,172.25829,213.30191,551.8877,-143.69057,231.51564,551.4331,132.78777,116.14155,68.276276,-136.85236,122.80304,79.93457,196.72385,376.48654,76.88596,-195.78644,381.03876,83.917854,0.0,0.0,0.0,0.0,0.0,0.0
19.43304,-160.9618,1335.5568,6.9479256,-82.40674,902.0747,205.73303,-124.48544,992.4061,163.52666,-70.26353,686.36835,-75.30234,-36.254105,840.9681,-192.72815,-130.8495,1000.0057,-204.89926,-35.441784,718.38153,57.22505,-6.4068246,838.44214,172.25926,213.2795,551.9415,-143.6813,231.49808,551.4655,132.80801,116.18931,68.27918,-136.95476,122.67857,79.97257,196.72812,376.50156,76.90691,-195.78659,381.6075,84.5132,0.0,0.0,0.0,0.0,0.0,0.0
18.932652,-160.93634,1334.8876,6.9241767,-82.4684,902.09576,205.3235,-124.4992,992.4295,163.38815,-70.259186,686.51306,-75.346275,-36.266293,840.95795,-192.8143,-130.9012,999.94617,-204.97461,-35.497383,718.34344,57.51163,-6.0660324,837.8168,172.2749,213.23973,551.9573,-143.66354,231.52502,551.45605,132.8309,116.17206,68.29721,-136.97081,122.66898,79.94542,196.65775,376.46005,76.86264,-195.78453,381.04825,83.92666,0.0,0.0,0.0,0.0,0.0,0.0
19.173195,-161.09532,1335.1132,6.8657126,-82.488174,902.0984,205.25574,-124.654076,992.4878,163.58646,-70.37805,686.64264,-75.40595,-36.327217,840.9427,-192.94269,-130.98705,999.93744,-204.9891,-35.50341,718.3233,57.141468,-6.3213916,837.77075,172.31999,213.34521,551.8932,-143.65735,231.51324,551.4735,132.80046,116.19604,68.2916,-137.0982,122.47994,79.765854,196.70416,376.47385,76.87509,-195.75073,381.35352,84.25794,0.0,0.0,0.0,0.0,0.0,0.0
18.686121,-161.16147,1335.0569,6.7923512,-82.596924,902.12195,205.19098,-124.84168,992.5524,163.57753,-70.42601,686.72626,-75.464645,-36.355076,840.9381,-193.04306,-130.98415,999.8807,-204.97383,-35.501404,718.2893,56.785328,-6.5545,837.97797,172.35426,213.28694,551.9597,-143.64247,231.45987,551.4862,132.82468,116.193985,68.286896,-136.94534,122.74236,79.9363,196.74174,376.46088,76.94283,-196.16533,380.76,83.77009,0.0,0.0,0.0,0.0,0.0,0.0
18.432531,-161.55482,1335.262,6.689717,-82.70988,902.1378,205.09976,-125.03046,992.63275,163.12361,-69.63411,686.79095,-75.40862,-36.360065,840.9942,-193.08897,-131.04063,999.8194,-204.90018,-35.394146,718.2697,57.55593,-6.0792594,837.89636,172.36537,213.29338,551.95245,-143.65442,231.47166,551.4577,132.8236,116.163704,68.324646,-136.54628,122.63316,79.84526,196.73688,376.46576,76.917206,-196.02412,381.11588,84.249466,0.0,0.0,0.0,0.0,0.0,0.0
18.152613,-161.7569,1335.2878,6.7405725,-82.6741,902.17096,205.08748,-125.23185,992.7228,163.19295,-69.68751,686.9256,-75.43058,-36.35555,840.9967,-193.17323,-131.07208,999.8117,-204.8957,-35.31067,718.25775,57.215393,-6.4035683,837.8559,172.38072,213.2901,551.95746,-143.62195,231.45358,551.4889,132.80853,116.1856,68.32786,-136.9609,122.69254,79.92079,196.76508,376.45084,76.907646,-195.6624,381.31836,84.22558,0.0,0.0,0.0,0.0,0.0,0.0
17.7977,-161.99629,1335.3643,6.6282177,-82.75152,902.1613,204.97603,-125.46614,992.8117,163.30797,-69.774055,687.0681,-75.431885,-36.39313,841.0164,-193.23592,-131.06354,999.74963,-204.82057,-35.18948,718.2621,57.52012,-6.444644,838.2891,172.38335,213.26442,551.96796,-143.6196,231.44273,551.4833,132.77695,116.15415,68.260506,-137.0634,122.324715,79.81637,196.77907,376.44217,76.917564,-195.79266,381.27948,84.2462,0.0,0.0,0.0,0.0,0.0,0.0
17.5786,-162.22562,1335.6626,6.587977,-82.81602,902.15967,204.91156,-125.668396,992.9065,163.34694,-69.90504,687.15405,-75.3681,-36.394592,841.02826,-193.32417,-131.06123,999.67975,-204.70651,-34.99991,718.24677,57.33799,-6.773782,838.6398,172.38594,213.24605,551.96014,-143.58649,231.40588,551.4856,132.79752,116.15957,68.29003,-136.47783,122.48234,79.83331,196.76688,376.46313,76.92182,-195.93707,380.94974,83.99828,0.0,0.0,0.0,0.0,0.0,0.0
17.40592,-162.33815,1335.637,6.5525036,-82.767075,902.23254,204.82103,-125.88746,992.96466,163.26074,-70.07865,687.5422,-75.34747,-36.431046,841.0716,-193.3988,-131.0499,999.6368,-204.61694,-34.874115,718.2229,57.37886,-6.873608,838.7031,172.42285,213.2438,551.9521,-143.5995,231.38652,551.472,132.79741,116.14992,68.314705,-136.98189,122.56069,79.98516,196.73242,376.42987,76.85333,-195.79512,381.2418,84.171455,0.0,0.0,0.0,0.0,0.0,0.0
17.096386,-162.49104,1335.6736,6.5522866,-82.83903,902.2177,204.71915,-126.13282,993.01215,163.21045,-70.73109,687.7697,-75.288704,-36.36808,841.06464,-193.45871,-130.98389,999.5593,-204.47472,-34.628098,718.242,57.433727,-6.986516,838.79553,172.39102,213.20987,551.9256,-143.58244,231.37224,551.46735,132.80081,116.17565,68.317345,-137.0082,122.29749,79.85494,196.75253,376.46024,76.87667,-195.75491,381.2463,84.177795,0.0,0.0,0.0,0.0,0.0,0.0
16.754467,-162.5087,1335.5331,6.440916,-82.7719,902.2465,205.01093,-126.370674,993.28064,163.20255,-70.41774,687.1405,-75.17438,-36.351402,841.11285,-193.57286,-130.94147,999.511,-204.42384,-34.417244,718.2233,57.54604,-7.0592866,838.88586,172.39586,213.17447,551.95135,-143.57605,231.38593,551.49536,132.80411,116.14937,68.26669,-136.96606,122.56712,79.94283,196.76443,376.45688,76.90841,-195.90353,381.1128,84.15369,0.0,0.0,0.0,0.0,0.0,0.0
16.511013,-162.63522,1335.5883,6.467816,-82.83616,902.24567,204.9632,-126.60095,993.3601,164.06673,-70.27486,687.24396,-75.1201,-36.341095,841.1079,-193.64754,-130.86238,999.45715,-204.3177,-34.181698,718.225,57.561157,-7.136843,838.9771,172.40526,213.16295,551.95825,-143.57997,231.37334,551.47736,132.78874,116.15823,68.267876,-137.08813,122.41149,79.788124,196.75124,376.47614,76.927635,-196.02475,380.8868,84.0159,0.0,0.0,0.0,0.0,0.0,0.0
16.115162,-162.84076,1335.8806,6.445834,-82.82477,902.28436,204.65486,-126.89818,993.2741,163.77563,-70.43216,687.41565,-74.99643,-36.30751,841.11646,-193.71861,-130.77847,999.3884,-204.23877,-33.913322,718.2369,57.694744,-7.2154217,839.04614,172.38533,213.11166,551.9219,-143.58171,231.35541,551.47736,132.7894,116.19797,68.24198,-136.97278,122.555244,79.92596,196.77551,376.49234,76.92359,-195.90796,381.1404,84.11681,0.0,0.0,0.0,0.0,0.0,0.0
15.880028,-162.93384,1335.895,6.4662123,-82.897995,902.3923,204.80101,-127.10807,993.4911,164.5936,-70.9983,687.6962,-74.9042,-36.250397,841.10864,-193.79945,-130.67984,999.3187,-204.07478,-33.621407,718.2232,58.00482,-7.132445,839.11566,172.41228,213.08687,551.9272,-143.55376,231.34935,551.4677,132.8182,116.127174,68.27918,-137.04178,122.62852,79.88994,196.79875,376.43268,76.972404,-195.90666,381.1825,84.096466,0.0,0.0,0.0,0.0,0.0,0.0
15.594246,-162.97548,1335.8712,6.470815,-82.86302,902.33655,204.99532,-127.4768,993.6161,164.08675,-71.19848,688.33954,-74.73671,-36.269505,841.1328,-193.82149,-130.53197,999.2559,-203.98283,-33.42457,718.1919,57.990425,-7.282814,839.13654,172.46675,213.05533,551.95,-143.59088,231.33452,551.48096,132.75401,116.18617,68.209335,-137.00839,122.578415,79.94703,196.74413,376.4602,76.93687,-196.1312,381.10162,84.20052,0.0,0.0,0.0,0.0,0.0,0.0
15.298199,-163.1007,1335.8784,6.0577965,-82.41388,902.4586,204.97543,-127.69074,993.71674,164.66486,-71.2733,687.8496,-74.691734,-36.12428,841.14185,-193.9133,-130.43275,999.2377,-203.89185,-33.210915,718.2047,58.16059,-7.2885633,839.147,172.50305,213.07256,551.7555,-143.6111,231.33047,551.44305,132.7813,116.20331,68.276024,-137.07867,122.45351,79.77809,196.94188,376.33487,77.06949,-196.11455,381.11005,84.19038,0.0,0.0,0.0,0.0,0.0,0.0
15.063539,-163.2164,1335.8585,6.3209243,-82.85416,902.40466,204.93495,-127.97448,993.80225,164.52502,-70.958725,687.67267,-74.31412,-36.431152,841.13403,-193.98914,-130.31671,999.1704,-203.76231,-32.91641,718.1881,58.161964,-7.4581227,839.169,172.55052,213.02815,551.77563,-143.54362,231.36816,551.4986,132.7958,116.1736,68.23054,-137.04443,122.350006,79.825905,196.81863,376.42996,76.93803,-195.8105,381.2658,84.191635,-149.92009,-218.55974,603.7154,0.0,0.0,0.0
14.642568,-163.29651,1335.8912,6.2797008,-82.83691,902.53973,204.82045,-128.28352,993.8655,164.68182,-71.09421,687.8006,-74.517586,-36.035057,841.15,-194.04985,-130.15015,999.12317,-203.67076,-32.680515,718.1828,58.520477,-7.3953724,839.2486,172.54439,212.99837,551.77496,-143.50476,231.3955,551.49725,132.80986,116.22062,68.23382,-136.97632,122.66667,79.91782,196.80629,376.44708,76.949356,-195.81918,381.31076,84.136154,-149.73601,-218.49426,603.63715,0.0,0.0,0.0
14.242903,-163.222,1335.6107,6.2501397,-82.75545,902.482,204.53668,-128.61182,993.82153,164.28499,-71.539856,688.114,-74.14125,-36.267735,841.22955,-194.11858,-129.99966,999.0924,-203.58888,-32.394096,718.18677,58.464928,-7.445131,839.3119,172.60733,212.97964,551.7406,-143.48872,231.39131,551.49097,132.79474,116.21324,68.27493,-137.04935,122.35094,79.87597,196.78636,376.48248,76.94229,-195.83263,381.30386,84.124626,-151.92697,-219.16661,605.57526,0.0,0.0,0.0
14.028619,-163.48848,1335.8055,6.241368,-82.84207,902.5652,204.6985,-128.85834,994.0687,164.34802,-71.60354,688.1731,-74.13477,-36.21147,841.25946,-194.18848,-129.89542,999.0774,-203.51555,-32.102715,718.23065,58.633564,-7.4847507,839.407,172.61998,212.86595,551.9276,-143.4338,231.44266,551.50195,132.78578,116.18536,68.26174,-136.97629,122.571594,79.92518,196.78777,376.44244,76.956314,-195.91815,381.27435,84.19312,-149.71744,-218.38268,603.71857,0.0,0.0,0.0
13.839083,-163.56145,1335.8737,6.263176,-82.79175,902.5965,204.37448,-129.16959,994.0324,164.5585,-71.60524,688.0019,-73.99094,-36.03997,841.2939,-194.28642,-129.72061,999.0562,-203.39622,-31.812933,718.2336,58.75877,-7.4733458,839.47284,172.67398,212.849,551.9248,-143.35736,231.50142,551.4904,132.89876,116.23709,68.23276,-137.01924,122.32352,79.89674,196.79964,376.42508,76.95443,-195.76476,381.32303,84.29866,-149.43779,-218.31847,603.65576,0.0,0.0,0.0
13.623033,-163.62448,1335.9026,6.3594418,-82.82074,902.683,204.52216,-129.32516,994.26245,164.57243,-71.733826,688.1995,-73.887,-35.958233,841.40155,-194.27194,-129.36986,998.94824,-203.2563,-31.49543,718.1765,59.119198,-6.9268165,839.4441,172.82997,212.76492,551.87177,-143.33966,231.53174,551.4637,132.78159,116.16292,68.259056,-136.95406,122.556984,79.9864,196.80096,376.43762,76.95068,-195.77542,381.3022,84.195305,-150.5174,-218.56935,604.7044,0.0,0.0,0.0
13.1599655,-163.59521,1335.7568,6.362904,-82.8481,902.6951,204.4225,-129.53558,994.33777,164.73164,-71.72042,688.12915,-74.08161,-35.5504,841.4416,-194.39136,-129.13904,998.9315,-203.11655,-31.173555,718.1441,58.98824,-7.063082,839.5663,172.86145,212.71176,551.8767,-143.24863,231.55736,551.46704,132.83778,116.20031,68.272934,-136.96637,122.64097,79.89902,196.79124,376.43375,76.93831,-195.84917,381.27213,84.21172,-151.52365,-218.82492,605.7831,0.0,0.0,0.0
