head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z,rHip                          _X,rHip                          _Y,rHip                          _Z
-10.615032,417.56476,1721.4537,6.318393,509.20297,1301.4927,223.54288,400.76025,1390.1298,264.86288,388.25928,1097.2831,249.48024,554.56323,881.1954,-206.18657,386.58344,1385.6342,-246.53711,380.35455,1095.4901,-236.638,518.149,862.5762,-151.8652,431.3906,959.5377,101.061356,465.87946,510.21378,-98.38114,464.24707,497.5538,102.95706,292.67636,67.91857,-108.306015,281.0053,80.60748,123.81551,561.3156,74.29364,-168.77936,540.63696,77.40002,0.0,0.0,0.0
-10.645073,417.32404,1721.5424,6.29928,509.0831,1301.5414,223.41956,400.28854,1390.0964,263.99387,388.36554,1097.1681,249.72015,553.6427,881.0394,-206.3902,386.72986,1385.6901,-246.7032,380.604,1095.447,-236.53134,518.7939,862.7948,-151.91853,431.28595,959.52216,101.0253,465.88284,510.21732,-98.402504,464.63254,497.32047,103.02336,292.74646,67.90528,-108.63733,281.40103,80.6217,123.82509,561.3766,74.292694,-168.90315,540.77826,77.50216,0.0,0.0,0.0
-10.839954,417.04938,1721.4048,6.2226515,508.92862,1301.6079,223.3046,399.83496,1390.0487,263.53876,387.68475,1096.9124,250.01709,552.74677,880.9465,-206.54666,386.69986,1385.6976,-246.90044,380.8358,1095.5184,-237.40662,519.72876,863.7629,-152.14366,431.37714,959.6817,100.951035,465.96057,510.24393,-98.47562,464.0652,497.6412,103.056145,292.789,67.929695,-108.61459,281.38187,80.633064,123.78332,561.3096,74.341705,-168.99716,540.7665,77.52949,0.0,0.0,0.0
-10.757185,416.8753,1721.1027,6.2102914,508.78238,1301.6667,223.1502,399.39343,1390.0164,263.70184,386.69614,1097.0332,250.24695,551.88104,880.8008,-206.69586,386.6138,1385.7522,-247.0976,381.06805,1095.4496,-236.6334,520.6818,863.6655,-152.32106,431.36685,959.7459,100.89964,465.94153,510.3233,-98.51662,464.03055,497.6316,103.07446,292.7649,67.96636,-108.600464,281.37857,80.63787,123.79335,561.3293,74.36419,-168.88315,540.72925,77.58837,0.0,0.0,0.0
-11.050773,416.5921,1721.4525,6.059323,508.63034,1301.77,223.03004,399.02707,1389.9996,263.41248,385.93048,1097.0243,250.45969,551.00275,880.68585,-206.86226,386.55417,1385.7787,-247.28047,381.28494,1095.5214,-236.60416,521.373,864.17334,-152.39354,431.2188,959.8859,100.84893,465.94006,510.48123,-98.53477,464.01553,497.57437,103.07716,292.76794,67.96559,-108.141716,281.1924,80.73741,123.78471,561.279,74.34185,-168.91357,540.69574,77.50326,0.0,0.0,0.0
-11.099827,416.63644,1721.4463,5.875289,508.50888,1301.8145,222.85213,398.68436,1390.0159,262.80356,385.46738,1097.0171,250.61293,550.12366,880.55084,-207.07994,386.4476,1385.822,-247.45462,381.49478,1095.5262,-236.51987,522.22217,864.68304,-152.65869,431.37143,959.9131,100.83609,465.9386,510.54962,-98.71314,463.97318,497.63055,102.79261,292.64584,67.85311,-108.271614,281.0139,80.61875,123.79665,561.2668,74.390495,-168.88148,540.8336,77.76672,0.0,0.0,0.0
-11.292346,416.51108,1721.4545,5.734126,508.38486,1301.8796,222.7398,398.396,1390.0282,262.65283,384.92136,1096.8958,250.69948,549.37646,880.3619,-207.2461,386.33847,1385.8586,-247.58403,381.70963,1095.5109,-235.99854,523.10443,865.131,-152.7614,431.07635,959.8182,100.75828,465.92572,510.60986,-98.68587,463.81155,497.75027,103.09733,292.73395,67.95001,-108.2685,281.04892,80.60262,123.82851,561.2204,74.42433,-168.82469,540.69165,77.61716,0.0,0.0,0.0
-11.439844,416.3576,1721.5078,5.6199403,508.2595,1301.9329,222.56721,398.1004,1390.04,262.40784,384.28348,1096.8699,250.78877,548.62787,880.19525,-207.44109,386.25238,1385.8854,-247.78569,381.85953,1095.5176,-235.8045,524.15393,865.58655,-152.89882,431.12918,959.8913,100.66587,465.97275,510.69327,-98.74483,463.76395,497.72177,103.105354,292.7499,67.962425,-108.30104,281.0468,80.61764,123.807,561.21185,74.396095,-168.73247,540.5618,77.41281,164.5455,427.3711,983.1064
-11.587652,416.14053,1721.7025,5.4685745,508.08978,1301.9502,222.4741,397.83978,1390.0509,262.1679,383.76758,1096.8479,250.837,547.89325,880.0313,-207.36148,385.58768,1385.8248,-247.90492,382.06958,1095.4594,-235.33331,525.3371,865.65375,-153.21033,431.35452,959.6534,100.612686,465.99048,510.72897,-98.8062,463.82755,497.67737,103.06384,292.7475,67.95389,-108.24909,281.19806,80.697624,123.82735,561.23615,74.437096,-168.77628,540.68726,77.49533,164.43257,427.33667,983.11957
-11.801326,416.14505,1721.5487,5.3012857,507.851,1301.9637,222.36389,397.65912,1390.0366,261.948,383.37244,1096.7996,250.77254,547.234,879.7977,-207.62027,385.67664,1385.8262,-248.09189,382.23752,1095.4548,-235.37791,526.4325,866.6277,-153.16733,431.23315,959.8538,100.48825,465.98358,510.74255,-98.9459,463.81665,497.62076,103.10655,292.76675,67.94941,-108.2059,281.2513,80.7128,123.797035,561.2141,74.41039,-168.74135,540.65356,77.44309,164.32893,427.03604,983.05023
-12.308111,415.82892,1721.5496,5.184736,507.66934,1301.9299,222.23169,397.4611,1390.0505,261.75278,383.04388,1096.8545,250.71347,546.58344,879.58984,-207.63377,385.219,1385.8215,-248.23651,382.39536,1095.3864,-235.44589,527.4236,867.31946,-153.49536,431.38083,959.5566,100.3823,466.0969,510.7754,-98.946205,464.12497,497.52765,103.141914,292.77112,67.898544,-108.27399,281.22305,80.709114,123.78904,561.2113,74.39627,-168.81577,540.67584,77.4955,164.10207,427.07602,983.0616
-12.757616,415.57947,1721.3917,5.0545363,507.54623,1301.9542,222.09886,397.29974,1389.9921,261.55493,382.59644,1096.8285,250.61736,545.9807,879.39685,-207.72578,385.0419,1385.7943,-248.36963,382.5433,1095.3137,-234.1254,528.54126,867.523,-153.43185,430.82297,959.57886,100.2255,466.07126,510.8269,-99.10687,463.84097,497.58612,103.13544,292.7632,67.85981,-108.26866,281.26776,80.68122,123.804115,561.2312,74.358025,-168.93268,540.7183,77.54599,164.06873,427.28717,983.43964
